,NAWROCKI Karol Tadeusz,TRZASKOWSKI Rafał Kazimierz
BARTOSZEWICZ Artur,0.673,0.327
BIEJAT Magdalena Agnieszka,0.098,0.902
BRAUN Grzegorz Michał,0.925,0.075
HOŁOWNIA Szymon Franciszek,0.138,0.862
JAKUBIAK Marek,0.903,0.097
MACIAK Maciej,0.729,0.271
MENTZEN Sławomir Jerzy,0.881,0.119
NAWROCKI Karol Tadeusz,0.993,0.007
SENYSZYN Joanna,0.189,0.811
STANOWSKI Krzysztof Jakub,0.512,0.488
TRZASKOWSKI Rafał Kazimierz,0.01,0.99
WOCH Marek Marian,0.654,0.346
ZANDBERG Adrian Tadeusz,0.162,0.838
New voters,0.486,0.514
